"Canonical_Employer_Key","Employer_Display_Name","Canonical_Industry","Record_Count","Original_Name_Count","Original_Key_Count","Original_Industry_Count","Original_Names","Original_Keys","Original_Industries"
"VIKING PARTNERS","Viking Partners LLC","Real Estate","14","2","1","1","Viking Partners | Viking Partners LLC","VIKING PARTNERS","Real Estate"
"CINCYTECH","CincyTech","Investment / Portfolio Management","13","1","1","1","CincyTech","CINCYTECH","Investment / Portfolio Management"
"CINTRIFUSE","Cintrifuse","Non-Profit - Other","13","1","1","1","Cintrifuse","CINTRIFUSE","Non-Profit - Other"
"COPELAND","Copeland","Manufacturing","13","3","1","1","Copeland | Copeland Corporation | Copeland LP","COPELAND","Manufacturing"
"ELEEO BRANDS","Eleeo Brands LLC","CPG - Consumer Packaged Goods","13","1","1","1","Eleeo Brands LLC","ELEEO BRANDS","CPG - Consumer Packaged Goods"
"GENERAL TOOL","General Tool Company","NA","13","1","1","0","General Tool Company","GENERAL TOOL",""
"GREAT AMERICAN LIFE INSURANCE","Great American Life Insurance Company","Other Industries","13","1","1","1","Great American Life Insurance Company","GREAT AMERICAN LIFE INSURANCE","Other Industries"
"JOHNSON AND JOHNSON","Johnson & Johnson","NA","13","1","1","0","Johnson & Johnson","JOHNSON AND JOHNSON",""
"NORTH AMERICAN PROPERTIES","North American Properties","Real Estate","13","1","1","1","North American Properties","NORTH AMERICAN PROPERTIES","Real Estate"
"WEALTHQUEST","Wealthquest","Investment / Portfolio Management","13","1","1","1","Wealthquest","WEALTHQUEST","Investment / Portfolio Management"
"GARTNER","Gartner","Research","12","2","1","2","Gartner | Gartner inc","GARTNER","Performing and Fine Arts | Research"
"LUBRIZOL","Lubrizol Corporation","Biotech & Life Sciences","12","1","1","1","Lubrizol Corporation","LUBRIZOL","Biotech & Life Sciences"
"MARQUE ENGINEERING","Marque Engineering","Engineering & Construction","12","1","1","1","Marque Engineering","MARQUE ENGINEERING","Engineering & Construction"
"SHERWINWILLIAMS","Sherwin-Williams Company","CPG - Consumer Packaged Goods","12","2","1","2","Sherwin-Williams | Sherwin-Williams Company","SHERWINWILLIAMS","CPG - Consumer Packaged Goods | Retail Stores"
"ULLIMAN SCHUTTE CONSTRUCTION","Ulliman Schutte Construction","Construction","12","1","1","1","Ulliman Schutte Construction","ULLIMAN SCHUTTE CONSTRUCTION","Construction"
"BARTLETT WEALTH MANAGEMENT","Bartlett Wealth Management","Investment / Portfolio Management","11","1","1","1","Bartlett Wealth Management","BARTLETT WEALTH MANAGEMENT","Investment / Portfolio Management"
"CORNOVUS CAPITAL","Cornovus Capital","NA","11","1","1","0","Cornovus Capital","CORNOVUS CAPITAL",""
"INNERWORKINGS","InnerWorkings","Advertising, PR & Marketing","11","1","1","1","InnerWorkings","INNERWORKINGS","Advertising, PR & Marketing"
"MUBEA","Mubea","Automotive","11","1","1","1","Mubea","MUBEA","Automotive"
"NATIONWIDE","Nationwide","Insurance","11","1","1","1","Nationwide","NATIONWIDE","Insurance"
"US BANK","U.S. Bank","Financial Services","11","2","1","1","U.S. Bank | US Bank","US BANK","Financial Services"
"UC HEALTH","UC Health","Healthcare","11","1","1","1","UC Health","UC HEALTH","Healthcare"
"UNION HOME MORTGAGE","Union Home Mortgage","Commercial Banking & Credit","11","1","1","1","Union Home Mortgage","UNION HOME MORTGAGE","Commercial Banking & Credit"
"VEGA AMERICAS","VEGA Americas, Inc","Manufacturing","11","1","1","1","VEGA Americas, Inc","VEGA AMERICAS","Manufacturing"
"1628","1628 Ltd","Real Estate","10","1","1","1","1628 Ltd","1628","Real Estate"
"ACCENTURE","Accenture","Management Consulting","10","1","1","1","Accenture","ACCENTURE","Management Consulting"
"CASSADY SCHILLER CPAS AND ADVISORS","Cassady Schiller CPAs & Advisors","Accounting","10","1","1","1","Cassady Schiller CPAs & Advisors","CASSADY SCHILLER CPAS AND ADVISORS","Accounting"
"CINCINNATI CARES","Cincinnati Cares","Non-Profit - Other","10","1","1","1","Cincinnati Cares","CINCINNATI CARES","Non-Profit - Other"
"DEAN DORTON","Dean Dorton","Accounting","10","1","1","1","Dean Dorton","DEAN DORTON","Accounting"
"ELEVANCE HEALTH FORMERLY ANTHEM","Elevance Health (formerly Anthem, Inc.)","Healthcare","10","1","1","1","Elevance Health (formerly Anthem, Inc.)","ELEVANCE HEALTH FORMERLY ANTHEM","Healthcare"
"EUROPEAN INNOVATION ACADEMY","European Innovation Academy","Other Education","10","1","1","1","European Innovation Academy","EUROPEAN INNOVATION ACADEMY","Other Education"
"GIVAUDAN","Givaudan","NA","10","1","1","0","Givaudan","GIVAUDAN",""
"HONDA","Honda","Automotive","10","1","1","1","Honda","HONDA","Automotive"
"HONEYWELL","Honeywell","Internet & Software","10","1","1","1","Honeywell","HONEYWELL","Internet & Software"
"JEFF WYLER AUTOMOTIVE FAMILY","Jeff Wyler Automotive Family","Retail Stores","10","1","1","1","Jeff Wyler Automotive Family","JEFF WYLER AUTOMOTIVE FAMILY","Retail Stores"
"KEYBANK","KeyBank","Financial Services","10","1","1","1","KeyBank","KEYBANK","Financial Services"
"LEARNING COMMONS","Learning Commons","NA","10","2","2","0","Learning Commons | The Learning Commons","LEARNING COMMONS | THE LEARNING COMMONS",""
"ARMOR GROUP","The Armor Group","Manufacturing","10","1","1","1","The Armor Group","THE ARMOR GROUP","Manufacturing"
"UPTOWN RENTAL PROPERTIES","Uptown Rental Properties","Real Estate","10","1","1","1","Uptown Rental Properties","UPTOWN RENTAL PROPERTIES","Real Estate"
"BATTERII","Batterii","Advertising, PR & Marketing","9","1","1","1","Batterii","BATTERII","Advertising, PR & Marketing"
"BAYER BECKER","Bayer Becker","Civil Engineering","9","1","1","1","Bayer Becker","BAYER BECKER","Civil Engineering"
"CARDINAL FINANCIAL","Cardinal Financial, LLP","Commercial Banking & Credit","9","2","1","3","Cardinal Financial | Cardinal Financial, LLP","CARDINAL FINANCIAL","Commercial Banking & Credit | Investment Banking | Real Estate"
"COLLIERS INTERNATIONAL","Colliers International","Real Estate","9","1","1","1","Colliers International","COLLIERS INTERNATIONAL","Real Estate"
"EMPIRE MARKETING STRATEGIES","Empire Marketing Strategies","Retail Stores","9","1","1","1","Empire Marketing Strategies","EMPIRE MARKETING STRATEGIES","Retail Stores"
"FIRST STUDENT","First Student","Transportation & Logistics","9","1","1","1","First Student","FIRST STUDENT","Transportation & Logistics"
"FORVIS","FORVIS","Accounting","9","2","1","1","FORVIS | FORVIS, LLP","FORVIS","Accounting"
